	file	good	path
0	JabRefPreferences	False	src/main/java/net/sf/jabref/JabRefPreferences.java
1	Globals	False	src/main/java/net/sf/jabref/Globals.java
2	BasePanel	False	src/main/java/net/sf/jabref/gui/BasePanel.java
3	PdfImporter	False	src/main/java/net/sf/jabref/pdfimport/PdfImporter.java
4	OpenOfficePreferences	False	src/main/java/net/sf/jabref/logic/openoffice/OpenOfficePreferences.java
5	CleanupPreset	False	src/main/java/net/sf/jabref/logic/cleanup/CleanupPreset.java
6	Localization	False	src/main/java/net/sf/jabref/logic/l10n/Localization.java
7	HelpFiles	False	src/main/java/net/sf/jabref/gui/help/HelpFiles.java
8	SaveOrderConfig	False	src/main/java/net/sf/jabref/logic/config/SaveOrderConfig.java
9	IconTheme	False	src/main/java/net/sf/jabref/gui/IconTheme.java
10	NamedCompound	False	src/main/java/net/sf/jabref/gui/undo/NamedCompound.java
11	MetaData	False	src/main/java/net/sf/jabref/MetaData.java
12	ExportFormats	False	src/main/java/net/sf/jabref/exporter/ExportFormats.java
13	SpecialFieldsUtils	False	src/main/java/net/sf/jabref/specialfields/SpecialFieldsUtils.java
14	UpdateField	False	src/main/java/net/sf/jabref/logic/util/UpdateField.java
15	JabRefFrame	False	src/main/java/net/sf/jabref/gui/JabRefFrame.java
16	Rank	False	src/main/java/net/sf/jabref/specialfields/Rank.java
17	ProxyPreferences	False	src/main/java/net/sf/jabref/logic/net/ProxyPreferences.java
18	EntryFromFileCreator	False	src/main/java/net/sf/jabref/importer/EntryFromFileCreator.java
19	SpecialFieldValue	False	src/main/java/net/sf/jabref/specialfields/SpecialFieldValue.java
20	LabelPatternUtil	False	src/main/java/net/sf/jabref/logic/labelpattern/LabelPatternUtil.java
21	ChangeScanner	False	src/main/java/net/sf/jabref/collab/ChangeScanner.java
22	AutoSaveManager	False	src/main/java/net/sf/jabref/exporter/AutoSaveManager.java
23	Priority	False	src/main/java/net/sf/jabref/specialfields/Priority.java
24	IEEEXploreFetcher	False	src/main/java/net/sf/jabref/importer/fetcher/IEEEXploreFetcher.java
25	DatabaseExporter	False	src/main/java/net/sf/jabref/sql/exporter/DatabaseExporter.java
26	InternalBibtexFields	False	src/main/java/net/sf/jabref/model/entry/InternalBibtexFields.java
27	DBImportExportDialog	False	src/main/java/net/sf/jabref/sql/DBImportExportDialog.java
