class;source;target;total;path
JabRefPreferences;161;452;613;src/main/java/net/sf/jabref/JabRefPreferences.java
Globals;0;244;244;src/main/java/net/sf/jabref/Globals.java
BasePanel;0;95;95;src/main/java/net/sf/jabref/gui/BasePanel.java
PdfImporter;92;0;92;src/main/java/net/sf/jabref/pdfimport/PdfImporter.java
OpenOfficePreferences;45;13;58;src/main/java/net/sf/jabref/logic/openoffice/OpenOfficePreferences.java
CleanupPreset;39;16;55;src/main/java/net/sf/jabref/logic/cleanup/CleanupPreset.java
Localization;0;53;53;src/main/java/net/sf/jabref/logic/l10n/Localization.java
HelpFiles;0;50;50;src/main/java/net/sf/jabref/gui/help/HelpFiles.java
SaveOrderConfig;40;5;45;src/main/java/net/sf/jabref/logic/config/SaveOrderConfig.java
IconTheme;0;43;43;src/main/java/net/sf/jabref/gui/IconTheme.java
NamedCompound;0;43;43;src/main/java/net/sf/jabref/gui/undo/NamedCompound.java
MetaData;38;0;38;src/main/java/net/sf/jabref/MetaData.java
ExportFormats;34;0;34;src/main/java/net/sf/jabref/exporter/ExportFormats.java
SpecialFieldsUtils;13;19;32;src/main/java/net/sf/jabref/specialfields/SpecialFieldsUtils.java
UpdateField;31;0;31;src/main/java/net/sf/jabref/logic/util/UpdateField.java
JabRefFrame;0;30;30;src/main/java/net/sf/jabref/gui/JabRefFrame.java
Rank;28;0;28;src/main/java/net/sf/jabref/specialfields/Rank.java
ProxyPreferences;27;0;27;src/main/java/net/sf/jabref/logic/net/ProxyPreferences.java
EntryFromFileCreator;24;0;24;src/main/java/net/sf/jabref/importer/EntryFromFileCreator.java
SpecialFieldValue;0;24;24;src/main/java/net/sf/jabref/specialfields/SpecialFieldValue.java
LabelPatternUtil;20;3;23;src/main/java/net/sf/jabref/logic/labelpattern/LabelPatternUtil.java
ChangeScanner;23;0;23;src/main/java/net/sf/jabref/collab/ChangeScanner.java
AutoSaveManager;23;0;23;src/main/java/net/sf/jabref/exporter/AutoSaveManager.java
Priority;23;0;23;src/main/java/net/sf/jabref/specialfields/Priority.java
IEEEXploreFetcher;20;0;20;src/main/java/net/sf/jabref/importer/fetcher/IEEEXploreFetcher.java
DatabaseExporter;20;0;20;src/main/java/net/sf/jabref/sql/exporter/DatabaseExporter.java
